ensg	obs_lof	exp_lof	shet	post_lower_95	post_upper_95	GENE	shet_BIN_raw	shet_BIN
ENSG00000173610	22	26.629	0.00013381	6.05e-06	0.00050705	UGT2A1	(3.01e-05,0.000599]	1
ENSG00000117834	39	37.49	0.00013481	1.31e-05	0.00041605	SLC5A9	(3.01e-05,0.000599]	1
ENSG00000062524	40	42.682	0.00013617	9.05e-06	0.00045605	LTK	(3.01e-05,0.000599]	1
ENSG00000183747	34	33.188	0.00013946	7.05e-06	0.00050405	ACSM2A	(3.01e-05,0.000599]	1
ENSG00000080823	29	23.527	0.00014332	1.31e-05	0.00046205	MOK	(3.01e-05,0.000599]	1
ENSG00000120952	13	10.722	0.00014409	5.05e-06	0.00055705	PRAMEF2	(3.01e-05,0.000599]	1
ENSG00000004846	60	65.992	0.00014424	8.05e-06	0.00049405	ABCB5	(3.01e-05,0.000599]	1
ENSG00000121270	69	68.211	0.00014845	6.05e-06	0.00055005	ABCC11	(3.01e-05,0.000599]	1
ENSG00000186160	25	23.845	0.00014934	5.05e-06	0.00060405	CYP4Z1	(3.01e-05,0.000599]	1
ENSG00000147485	58	66.153	0.00015293	7.05e-06	0.00057605	PXDNL	(3.01e-05,0.000599]	1
ENSG00000176919	21	13.6	0.00015328	5.05e-06	0.00061005	C8G	(3.01e-05,0.000599]	1
ENSG00000166157	34	31.239	0.0001546	5.05e-06	0.00058805	NA	(3.01e-05,0.000599]	1
ENSG00000196502	16	15.687	0.00015507	6.05e-06	0.00059105	SULT1A1	(3.01e-05,0.000599]	1
ENSG00000156194	28	39.788	0.00015518	7.05e-06	0.00057605	PPEF2	(3.01e-05,0.000599]	1
ENSG00000064270	75	49.012	0.00015775	8.05e-06	0.00056905	ATP2C2	(3.01e-05,0.000599]	1
ENSG00000255346	40	36.404	0.00015777	6.05e-06	0.00060405	NOX5	(3.01e-05,0.000599]	1
ENSG00000196126	6	10.241	0.00015789	9.05e-06	0.00050705	HLA-DRB1	(3.01e-05,0.000599]	1
ENSG00000205038	174	186.63	0.00015814	1.91e-05	0.00046005	PKHD1L1	(3.01e-05,0.000599]	1
ENSG00000185615	39	22.23	0.00015861	6.05e-06	0.00059705	PDIA2	(3.01e-05,0.000599]	1
ENSG00000198848	22	21.57	0.00015871	7.05e-06	0.00059805	CES1	(3.01e-05,0.000599]	1
ENSG00000171903	30	26.74	0.00016241	4.05e-06	0.00067105	CYP4F11	(3.01e-05,0.000599]	1
ENSG00000113492	37	28.653	0.0001629	7.05e-06	0.00061505	AGXT2	(3.01e-05,0.000599]	1
ENSG00000166670	22	22.206	0.00016478	7.05e-06	0.00062705	MMP10	(3.01e-05,0.000599]	1
ENSG00000237524	NA	NA	0.00016746	6.05e-06	0.00060105	TEX51	(3.01e-05,0.000599]	1
ENSG00000203734	65	53.27	0.00016814	7.05e-06	0.00062905	ECT2L	(3.01e-05,0.000599]	1
ENSG00000111271	51	59.356	0.00016871	1.01e-05	0.00060105	ACAD10	(3.01e-05,0.000599]	1
ENSG00000172828	21	26.395	0.0001711	5.05e-06	0.00068905	CES3	(3.01e-05,0.000599]	1
ENSG00000180999	8	8.9524	0.00017215	6.05e-06	0.00060005	C1orf105	(3.01e-05,0.000599]	1
ENSG00000163803	107	102.49	0.00017264	1.01e-05	0.00059205	PLB1	(3.01e-05,0.000599]	1
ENSG00000178852	46	43.049	0.00017413	9.05e-06	0.00062805	EFCAB13	(3.01e-05,0.000599]	1
ENSG00000104760	31	19.431	0.0001747	6.05e-06	0.00068405	FGL1	(3.01e-05,0.000599]	1
ENSG00000066813	37	34.284	0.00017476	5.05e-06	0.00069205	ACSM2B	(3.01e-05,0.000599]	1
ENSG00000162482	24	15.463	0.00017543	5.05e-06	0.00071105	AKR7A3	(3.01e-05,0.000599]	1
ENSG00000126838	64	80.804	0.00017636	8.05e-06	0.00065305	PZP	(3.01e-05,0.000599]	1
ENSG00000159337	28	41.84	0.00017653	6.05e-06	0.00068305	PLA2G4D	(3.01e-05,0.000599]	1
ENSG00000073605	13	19.621	0.0001772	3.05e-06	0.00058205	GSDMB	(3.01e-05,0.000599]	1
ENSG00000167701	26	22.157	0.00017752	7.05e-06	0.00066805	GPT	(3.01e-05,0.000599]	1
ENSG00000108242	16	18.476	0.0001779	6.05e-06	0.00071905	CYP2C18	(3.01e-05,0.000599]	1
ENSG00000144671	21	23.997	0.00017936	9.05e-06	0.00066005	SLC22A14	(3.01e-05,0.000599]	1
ENSG00000134538	32	31.744	0.00018103	5.05e-06	0.00072305	SLCO1B1	(3.01e-05,0.000599]	1
ENSG00000129437	12	12.303	0.00018364	5.05e-06	0.00073805	KLK14	(3.01e-05,0.000599]	1
ENSG00000231924	33	14.597	0.00018394	5.05e-06	0.00074805	PSG1	(3.01e-05,0.000599]	1
ENSG00000162391	24	22.562	0.00018403	5.05e-06	0.00074005	FAM151A	(3.01e-05,0.000599]	1
ENSG00000138109	16	17.324	0.00018518	4.05e-06	0.00077605	CYP2C9	(3.01e-05,0.000599]	1
ENSG00000196611	25	22.869	0.00018528	7.05e-06	0.00070605	MMP1	(3.01e-05,0.000599]	1
ENSG00000182156	19	14.986	0.000186	6.05e-06	0.00072405	ENPP7	(3.01e-05,0.000599]	1
ENSG00000131781	22	21.687	0.00018675	7.05e-06	0.00071705	FMO5	(3.01e-05,0.000599]	1
ENSG00000168658	52	69.715	0.00018701	1.21e-05	0.00064605	VWA3B	(3.01e-05,0.000599]	1
ENSG00000163810	32	35.631	0.00018734	6.05e-06	0.00073105	TGM4	(3.01e-05,0.000599]	1
ENSG00000125255	20	12.355	0.00018744	5.05e-06	0.00077305	SLC10A2	(3.01e-05,0.000599]	1
ENSG00000036448	114	89.751	0.0001876	1.41e-05	0.00060505	MYOM2	(3.01e-05,0.000599]	1
ENSG00000187048	33	26.794	0.00018884	7.05e-06	0.00072205	CYP4A11	(3.01e-05,0.000599]	1
ENSG00000184860	12	9.3763	0.00018982	1.21e-05	0.00058705	SDR42E1	(3.01e-05,0.000599]	1
ENSG00000162365	37	25.075	0.00018982	6.05e-06	0.00074205	CYP4A22	(3.01e-05,0.000599]	1
ENSG00000187527	72	68.041	0.00019046	1.41e-05	0.00062705	ATP13A5	(3.01e-05,0.000599]	1
ENSG00000186204	26	26.239	0.00019053	6.05e-06	0.00076405	CYP4F12	(3.01e-05,0.000599]	1
ENSG00000173818	15	17.037	0.00019062	1.31e-05	0.00064605	ENDOV	(3.01e-05,0.000599]	1
ENSG00000119943	26	30.945	0.00019073	7.05e-06	0.00074705	PYROXD2	(3.01e-05,0.000599]	1
ENSG00000100652	18	8.8099	0.00019076	5.05e-06	0.00079005	SLC10A1	(3.01e-05,0.000599]	1
ENSG00000142405	41	39.256	0.00019174	7.05e-06	0.00072605	NLRP12	(3.01e-05,0.000599]	1
ENSG00000137251	36	33.494	0.00019221	8.05e-06	0.00072305	TINAG	(3.01e-05,0.000599]	1
ENSG00000100336	5	6.5687	0.00019246	5.05e-06	0.00067505	APOL4	(3.01e-05,0.000599]	1
ENSG00000135773	37	42.698	0.00019428	8.05e-06	0.00072805	CAPN9	(3.01e-05,0.000599]	1
ENSG00000214021	31	34.119	0.00019434	1.81e-05	0.00061905	TTLL3	(3.01e-05,0.000599]	1
ENSG00000170054	17	12.231	0.00019457	6.05e-06	0.00076605	SERPINA9	(3.01e-05,0.000599]	1
ENSG00000157653	20	27.536	0.00019482	8.05e-06	0.00067205	C9orf43	(3.01e-05,0.000599]	1
ENSG00000187609	30	40.713	0.00019525	7.05e-06	0.00076005	EXD3	(3.01e-05,0.000599]	1
ENSG00000164308	45	48.461	0.00019653	8.05e-06	0.00074105	ERAP2	(3.01e-05,0.000599]	1
ENSG00000172940	21	21.976	0.00019673	6.05e-06	0.00078005	SLC22A13	(3.01e-05,0.000599]	1
ENSG00000137877	186	197.71	0.0001969	1.21e-05	0.00063405	SPTBN5	(3.01e-05,0.000599]	1
ENSG00000138115	28	19.227	0.00019761	6.05e-06	0.00079405	CYP2C8	(3.01e-05,0.000599]	1
ENSG00000106526	9	11.407	0.0001978	1.01e-05	0.00069505	ACTR3C	(3.01e-05,0.000599]	1
ENSG00000168060	34	37.601	0.0001981	6.05e-06	0.00078905	NAALADL1	(3.01e-05,0.000599]	1
ENSG00000187715	23	26.427	0.00019826	6.05e-06	0.00078205	KBTBD12	(3.01e-05,0.000599]	1
ENSG00000156413	NA	NA	0.00019845	5.05e-06	0.00081905	FUT6	(3.01e-05,0.000599]	1
ENSG00000188818	22	20.355	0.00019865	8.05e-06	0.00075305	ZDHHC11	(3.01e-05,0.000599]	1
ENSG00000088827	69	68.529	0.00019952	1.21e-05	0.00067605	SIGLEC1	(3.01e-05,0.000599]	1
ENSG00000223510	8	6.2239	0.0001996	6.05e-06	0.00076205	CDRT15	(3.01e-05,0.000599]	1
ENSG00000166743	27	34.678	0.00020035	5.05e-06	0.00081905	ACSM1	(3.01e-05,0.000599]	1
ENSG00000135226	24	19.788	0.00020121	5.05e-06	0.00082705	UGT2B28	(3.01e-05,0.000599]	1
ENSG00000179869	183	199.93	0.00020129	1.51e-05	0.00063805	ABCA13	(3.01e-05,0.000599]	1
ENSG00000165841	25	17.621	0.00020274	6.05e-06	0.00082505	CYP2C19	(3.01e-05,0.000599]	1
ENSG00000143554	31	28.271	0.00020276	1.11e-05	0.00073805	SLC27A3	(3.01e-05,0.000599]	1
ENSG00000138792	46	51.473	0.00020289	1.21e-05	0.00070305	ENPEP	(3.01e-05,0.000599]	1
ENSG00000161664	23	20.471	0.0002029	6.05e-06	0.00080005	ASB16	(3.01e-05,0.000599]	1
ENSG00000112539	27	22.17	0.0002033	6.05e-06	0.00079805	C6orf118	(3.01e-05,0.000599]	1
ENSG00000187134	21	18.973	0.00020369	6.05e-06	0.00080505	AKR1C1	(3.01e-05,0.000599]	1
ENSG00000124564	31	28.197	0.00020374	6.05e-06	0.00081305	SLC17A3	(3.01e-05,0.000599]	1
ENSG00000243708	59	55.365	0.00020381	6.05e-06	0.00080405	PLA2G4B	(3.01e-05,0.000599]	1
ENSG00000131969	21	19.055	0.00020396	7.05e-06	0.00080205	ABHD12B	(3.01e-05,0.000599]	1
ENSG00000124215	40	42.082	0.00020431	7.05e-06	0.00080505	CDH26	(3.01e-05,0.000599]	1
ENSG00000197446	15	18.589	0.00020437	5.05e-06	0.00084505	CYP2F1	(3.01e-05,0.000599]	1
ENSG00000118113	32	24.117	0.0002051	6.05e-06	0.00082705	MMP8	(3.01e-05,0.000599]	1
ENSG00000268500	12	19.812	0.0002056	7.05e-06	0.00082205	NA	(3.01e-05,0.000599]	1
ENSG00000106648	22	19.12	0.00020589	7.05e-06	0.00080805	GALNTL5	(3.01e-05,0.000599]	1
ENSG00000237353	4	3.8133	0.00020641	2.05e-06	0.00082305	PATE4	(3.01e-05,0.000599]	1
ENSG00000161640	30	26.047	0.00020649	7.05e-06	0.00080305	SIGLEC11	(3.01e-05,0.000599]	1
ENSG00000175711	36	26.1	0.00020793	9.05e-06	0.00077305	B3GNTL1	(3.01e-05,0.000599]	1
ENSG00000132958	24	35.706	0.0002082	5.05e-06	0.00087105	TPTE2	(3.01e-05,0.000599]	1
ENSG00000149328	32	38.379	0.00020832	8.05e-06	0.00081505	GLB1L2	(3.01e-05,0.000599]	1
ENSG00000172497	25	32.131	0.0002093	7.05e-06	0.00082205	ACOT12	(3.01e-05,0.000599]	1
ENSG00000146205	60	54.265	0.00020957	7.05e-06	0.00082605	ANO7	(3.01e-05,0.000599]	1
ENSG00000165953	10	11.229	0.0002096	5.05e-06	0.00086805	SERPINA12	(3.01e-05,0.000599]	1
ENSG00000214491	15	21.727	0.00020963	5.05e-06	0.00087005	SEC14L6	(3.01e-05,0.000599]	1
ENSG00000143226	10	12.583	0.00021004	1.21e-05	0.00062205	FCGR2A	(3.01e-05,0.000599]	1
ENSG00000124003	15	14.849	0.00021105	5.05e-06	0.00088505	MOGAT1	(3.01e-05,0.000599]	1
ENSG00000005187	26	34.184	0.00021107	1.11e-05	0.00076505	ACSM3	(3.01e-05,0.000599]	1
ENSG00000186190	21	24.167	0.00021109	7.05e-06	0.00081805	BPIFB3	(3.01e-05,0.000599]	1
ENSG00000184571	49	50.811	0.00021109	9.05e-06	0.00076605	PIWIL3	(3.01e-05,0.000599]	1
ENSG00000133943	31	27	0.00021138	7.05e-06	0.00084305	DGLUCY	(3.01e-05,0.000599]	1
ENSG00000169876	85	68.48	0.00021143	9.05e-06	0.00074505	MUC17	(3.01e-05,0.000599]	1
ENSG00000214013	54	56.882	0.00021289	1.51e-05	0.00072005	GANC	(3.01e-05,0.000599]	1
ENSG00000134389	41	28.546	0.00021346	6.05e-06	0.00087505	CFHR5	(3.01e-05,0.000599]	1
ENSG00000175287	19	18.888	0.00021413	7.05e-06	0.00084705	PHYHD1	(3.01e-05,0.000599]	1
ENSG00000174292	16	25.698	0.00021419	1.21e-05	0.00071905	TNK1	(3.01e-05,0.000599]	1
ENSG00000102854	35	31.429	0.00021445	7.05e-06	0.00083005	MSLN	(3.01e-05,0.000599]	1
ENSG00000173467	22	11	0.0002149	5.05e-06	0.00089905	AGR3	(3.01e-05,0.000599]	1
ENSG00000144504	38	41.042	0.00021552	9.05e-06	0.00081305	ANKMY1	(3.01e-05,0.000599]	1
ENSG00000109625	43	25.314	0.00021582	1.01e-05	0.00078505	CPZ	(3.01e-05,0.000599]	1
ENSG00000166634	30	17.327	0.00021635	6.05e-06	0.00088005	SERPINB12	(3.01e-05,0.000599]	1
ENSG00000084734	31	36.415	0.0002183	8.05e-06	0.00083205	GCKR	(3.01e-05,0.000599]	1
ENSG00000163060	21	19.408	0.00021902	7.05e-06	0.00085205	TEKT4	(3.01e-05,0.000599]	1
ENSG00000257335	72	104.25	0.00021915	1.31e-05	0.00075505	MGAM	(3.01e-05,0.000599]	1
ENSG00000197241	28	22.887	0.00021957	7.05e-06	0.00085905	SLC2A7	(3.01e-05,0.000599]	1
ENSG00000007933	22	19.774	0.00021969	6.05e-06	0.00088605	FMO3	(3.01e-05,0.000599]	1
ENSG00000243137	35	21.326	0.00021983	5.05e-06	0.00091305	PSG4	(3.01e-05,0.000599]	1
ENSG00000140465	23	17.908	0.00022052	7.05e-06	0.00086405	CYP1A1	(3.01e-05,0.000599]	1
ENSG00000130997	57	49.935	0.00022106	1.21e-05	0.00079205	POLN	(3.01e-05,0.000599]	1
ENSG00000148377	11	7.1391	0.00022143	5.05e-06	0.00092105	IDI2	(3.01e-05,0.000599]	1
ENSG00000181240	17	16.699	0.00022157	6.05e-06	0.00091905	SLC25A41	(3.01e-05,0.000599]	1
ENSG00000163751	25	26.478	0.00022169	7.05e-06	0.00086605	CPA3	(3.01e-05,0.000599]	1
ENSG00000132746	18	15.958	0.00022198	6.05e-06	0.00090805	ALDH3B2	(3.01e-05,0.000599]	1
ENSG00000162949	37	43.234	0.00022207	7.05e-06	0.00087405	CAPN13	(3.01e-05,0.000599]	1
ENSG00000154269	41	51.898	0.00022269	1.11e-05	0.00080805	ENPP3	(3.01e-05,0.000599]	1
ENSG00000170209	20	25.012	0.00022302	6.05e-06	0.00092905	ANKK1	(3.01e-05,0.000599]	1
ENSG00000149968	22	22.173	0.00022345	7.05e-06	0.00088405	MMP3	(3.01e-05,0.000599]	1
ENSG00000115267	59	47.326	0.0002238	1.71e-05	0.00072305	IFIH1	(3.01e-05,0.000599]	1
ENSG00000196139	30	20.959	0.00022384	6.05e-06	0.00090505	AKR1C3	(3.01e-05,0.000599]	1
ENSG00000198569	21	22.091	0.00022402	6.05e-06	0.00090405	SLC34A3	(3.01e-05,0.000599]	1
ENSG00000139410	15	12.119	0.00022406	6.05e-06	0.00093405	SDSL	(3.01e-05,0.000599]	1
ENSG00000177943	74	67.698	0.00022524	1.51e-05	0.00075005	MAMDC4	(3.01e-05,0.000599]	1
ENSG00000111700	33	28.537	0.00022549	7.05e-06	0.00089505	SLCO1B3	(3.01e-05,0.000599]	1
ENSG00000273540	49	54.423	0.00022596	1.31e-05	0.00079305	AGBL1	(3.01e-05,0.000599]	1
ENSG00000151360	23	21.958	0.00022639	8.05e-06	0.00087705	ALLC	(3.01e-05,0.000599]	1
ENSG00000174175	47	45.434	0.00022658	1.01e-05	0.00083905	SELP	(3.01e-05,0.000599]	1
ENSG00000111801	25	20.814	0.00022671	1.01e-05	0.00082105	BTN3A3	(3.01e-05,0.000599]	1
ENSG00000180638	25	30.807	0.00022689	5.05e-06	0.00094205	SLC47A2	(3.01e-05,0.000599]	1
ENSG00000203797	16	19.639	0.00022722	4.05e-06	0.00099505	DDO	(3.01e-05,0.000599]	1
ENSG00000095110	16	12.19	0.00022807	6.05e-06	0.00092405	NXPE1	(3.01e-05,0.000599]	1
ENSG00000101203	62	63.624	0.00022813	1.01e-05	0.00083505	COL20A1	(3.01e-05,0.000599]	1
ENSG00000186976	71	74.725	0.00022826	1.71e-05	0.00076705	EFCAB6	(3.01e-05,0.000599]	1
ENSG00000213512	24	28.665	0.00022863	6.05e-06	0.00094805	GBP7	(3.01e-05,0.000599]	1
ENSG00000023839	73	76.597	0.00022939	1.21e-05	0.00081005	ABCC2	(3.01e-05,0.000599]	1
ENSG00000133460	20	22.062	0.00023002	7.05e-06	0.00091505	SLC2A11	(3.01e-05,0.000599]	1
ENSG00000166105	36	39.291	0.00023007	7.05e-06	0.00092905	GLB1L3	(3.01e-05,0.000599]	1
ENSG00000168907	44	48.484	0.00023105	7.05e-06	0.00091405	PLA2G4F	(3.01e-05,0.000599]	1
ENSG00000148513	67	64.993	0.00023105	8.05e-06	0.00087905	ANKRD30A	(3.01e-05,0.000599]	1
ENSG00000186529	24	24.423	0.00023113	7.05e-06	0.00091405	CYP4F3	(3.01e-05,0.000599]	1
ENSG00000080166	23	27.76	0.0002331	9.05e-06	0.00087705	DCT	(3.01e-05,0.000599]	1
ENSG00000184647	14	10.387	0.00023316	6.05e-06	0.00095705	PRSS55	(3.01e-05,0.000599]	1
ENSG00000249437	7	10.044	0.00023336	9.05e-06	0.00090305	NAIP	(3.01e-05,0.000599]	1
ENSG00000162592	40	36.336	0.00023355	8.05e-06	0.00090405	CCDC27	(3.01e-05,0.000599]	1
ENSG00000198062	15	13.591	0.00023398	7.05e-06	0.00092505	POTEH	(3.01e-05,0.000599]	1
ENSG00000196344	16	14.904	0.00023436	6.05e-06	0.00096505	ADH7	(3.01e-05,0.000599]	1
ENSG00000163395	92	116.43	0.00023498	9.05e-06	0.00089505	IGFN1	(3.01e-05,0.000599]	1
ENSG00000184428	45	34.269	0.0002355	1.31e-05	0.00082105	TOP1MT	(3.01e-05,0.000599]	1
ENSG00000184465	34	50.752	0.00023696	7.05e-06	0.00094105	WDR27	(3.01e-05,0.000599]	1
ENSG00000137225	39	44.268	0.00023717	1.21e-05	0.00087905	CAPN11	(3.01e-05,0.000599]	1
ENSG00000087076	16	15.824	0.00023738	7.05e-06	0.00095905	HSD17B14	(3.01e-05,0.000599]	1
ENSG00000009724	24	29.462	0.00023784	9.05e-06	0.00092105	MASP2	(3.01e-05,0.000599]	1
ENSG00000205649	6	4.8726	0.00023843	6.05e-06	0.00096705	HTN3	(3.01e-05,0.000599]	1
ENSG00000141434	37	38.05	0.00023857	1.31e-05	0.00085305	MEP1B	(3.01e-05,0.000599]	1
ENSG00000181381	67	81.674	0.00023871	8.05e-06	0.00091805	DDX60L	(3.01e-05,0.000599]	1
ENSG00000124467	28	16.519	0.00023885	6.05e-06	0.00098705	PSG8	(3.01e-05,0.000599]	1
ENSG00000182472	46	38.699	0.00023886	1.41e-05	0.00084105	CAPN12	(3.01e-05,0.000599]	1
ENSG00000137959	18	17.556	0.00023895	7.05e-06	0.00098205	IFI44L	(3.01e-05,0.000599]	1
ENSG00000137675	29	23.163	0.00023963	7.05e-06	0.00095205	MMP27	(3.01e-05,0.000599]	1
ENSG00000173531	34	43.882	0.00023966	1.11e-05	0.00089605	MST1	(3.01e-05,0.000599]	1
ENSG00000227471	27	17.254	0.00024001	7.05e-06	0.00096105	AKR1B15	(3.01e-05,0.000599]	1
ENSG00000113396	27	26.915	0.00024023	9.05e-06	0.00093305	SLC27A6	(3.01e-05,0.000599]	1
ENSG00000167968	11	13.026	0.00024029	6.05e-06	0.00098505	DNASE1L2	(3.01e-05,0.000599]	1
ENSG00000112303	21	19.23	0.00024039	6.05e-06	0.00098605	VNN2	(3.01e-05,0.000599]	1
ENSG00000185522	34	25.764	0.00024111	9.05e-06	0.00090905	LMNTD2	(3.01e-05,0.000599]	1
ENSG00000150076	23	33.166	0.00024131	1.01e-05	0.00073605	NA	(3.01e-05,0.000599]	1
ENSG00000188086	6	7.0898	0.00024227	6.05e-06	0.00098705	PRSS45P	(3.01e-05,0.000599]	1
ENSG00000141179	16	14.296	0.00024242	8.05e-06	0.00095805	PCTP	(3.01e-05,0.000599]	1
ENSG00000109511	22	25.33	0.00024266	8.05e-06	0.00094905	ANXA10	(3.01e-05,0.000599]	1
ENSG00000170379	10	6.9146	0.00024285	7.05e-06	0.00097005	TCAF2	(3.01e-05,0.000599]	1
ENSG00000171174	13	13.451	0.00024296	1.01e-05	0.00093105	RBKS	(3.01e-05,0.000599]	1
ENSG00000003400	19	21.658	0.00024308	9.05e-06	0.00093005	CASP10	(3.01e-05,0.000599]	1
ENSG00000185873	25	19.695	0.00024359	7.05e-06	0.00098505	TMPRSS11B	(3.01e-05,0.000599]	1
ENSG00000198203	16	18.192	0.00024402	6.05e-06	0.00101105	SULT1C2	(3.01e-05,0.000599]	1
ENSG00000138068	24	14.139	0.00024427	7.05e-06	0.00098305	SULT6B1	(3.01e-05,0.000599]	1
ENSG00000142623	26	31.766	0.00024435	6.05e-06	0.00099605	PADI1	(3.01e-05,0.000599]	1
ENSG00000167280	37	36.426	0.00024442	1.41e-05	0.00086205	ENGASE	(3.01e-05,0.000599]	1
ENSG00000116032	14	22.387	0.00024507	8.05e-06	0.00098005	GRIN3B	(3.01e-05,0.000599]	1
ENSG00000145244	53	54.064	0.0002455	1.71e-05	0.00083505	CORIN	(3.01e-05,0.000599]	1
ENSG00000204614	14	11.123	0.00024653	7.05e-06	0.00097305	TRIM40	(3.01e-05,0.000599]	1
ENSG00000203837	19	23.531	0.00024662	6.05e-06	0.00100205	PNLIPRP3	(3.01e-05,0.000599]	1
ENSG00000124568	24	24.589	0.00024664	7.05e-06	0.00099805	SLC17A1	(3.01e-05,0.000599]	1
ENSG00000128536	37	38.242	0.00024666	8.05e-06	0.00096105	CDHR3	(3.01e-05,0.000599]	1
ENSG00000149124	11	10.264	0.00024701	5.05e-06	0.00105105	GLYAT	(3.01e-05,0.000599]	1
ENSG00000153347	20	25.506	0.00024701	1.31e-05	0.00086905	FAM81B	(3.01e-05,0.000599]	1
ENSG00000105609	33	30.879	0.00024712	8.05e-06	0.00096905	LILRB5	(3.01e-05,0.000599]	1
ENSG00000168619	47	38.193	0.00024724	1.11e-05	0.00091905	ADAM18	(3.01e-05,0.000599]	1
ENSG00000153060	27	22.115	0.00024754	7.05e-06	0.00099505	TEKT5	(3.01e-05,0.000599]	1
ENSG00000145002	8	7.8445	0.00024782	3.05e-06	0.00110605	FAM86B2	(3.01e-05,0.000599]	1
ENSG00000106384	17	15.231	0.0002481	5.05e-06	0.00106005	MOGAT3	(3.01e-05,0.000599]	1
ENSG00000162994	31	30.862	0.00024845	1.11e-05	0.00092705	CLHC1	(3.01e-05,0.000599]	1
ENSG00000135220	22	20.501	0.00024853	7.05e-06	0.00101205	UGT2A3	(3.01e-05,0.000599]	1
ENSG00000088926	37	33.679	0.00024888	9.05e-06	0.00094905	F11	(3.01e-05,0.000599]	1
ENSG00000204361	14	17.262	0.00024895	6.05e-06	0.00102705	NXPE2	(3.01e-05,0.000599]	1
ENSG00000204941	27	18.215	0.00024901	5.05e-06	0.00103905	PSG5	(3.01e-05,0.000599]	1
ENSG00000206177	3	4.1072	0.00024916	6.05e-06	0.00097205	HBM	(3.01e-05,0.000599]	1
ENSG00000102904	40	34.479	0.0002494	8.05e-06	0.00099105	TSNAXIP1	(3.01e-05,0.000599]	1
ENSG00000176978	30	25.311	0.00024954	9.05e-06	0.00096805	DPP7	(3.01e-05,0.000599]	1
ENSG00000063127	23	29.957	0.00024955	7.05e-06	0.00101505	SLC6A16	(3.01e-05,0.000599]	1
ENSG00000153789	15	16.136	0.00024969	9.05e-06	0.00097205	CIBAR2	(3.01e-05,0.000599]	1
ENSG00000149292	31	39.921	0.00024973	1.01e-05	0.00095605	TTC12	(3.01e-05,0.000599]	1
